Threshold,Ratio,Approved Loan
0.01,,0
0.02,,50
0.03,19.333333333333332,305
0.04,18.84313725490196,1012
0.05,17.817391304347826,2164
0.060000000000000005,15.535087719298245,3770
0.06999999999999999,13.106435643564357,5699
0.08,12.09046052631579,7959
0.09,10.524498886414253,10349
0.09999999999999999,9.583196046128501,12848
0.11,8.955844155844156,15332
0.12,8.325446898002102,17737
0.13,7.894760820045558,19524
0.14,7.532630725577625,21050
0.15000000000000002,7.27865250823874,22609
0.16,7.047555703358829,24199
0.17,6.8176004872107185,25673
0.18000000000000002,6.683257918552036,27168
0.19,6.51425582003662,28727
0.2,6.316972920696325,30263
0.21000000000000002,6.115893297466935,31744
0.22,5.915092381150093,33310
0.23,5.731773351382711,34810
0.24000000000000002,5.571611019886882,36019
0.25,5.466853735531393,36874
0.26,5.3510369246332825,37668
0.27,5.247275093541565,38402
0.28,5.180405833861763,38986
0.29000000000000004,4.853325833216144,41623
0.3,4.796806167400881,42108
0.31,4.728752017213556,42599
0.32,4.666447714135575,43133
0.33,4.596414852752881,43708
0.34,4.531066383297913,44243
0.35000000000000003,4.4700134359350185,44783
0.36000000000000004,4.4138054791242975,45254
0.37,4.3686934023285895,45650
0.38,4.337553722848182,45951
0.39,4.299106119642448,46240
0.4,4.261331524810671,46547
0.41000000000000003,4.233206873465744,46900
0.42000000000000004,4.19689803101969,47245
0.43,4.165417617030521,47558
0.44,4.128603579466295,47855
0.45,4.105983450031827,48129
0.46,4.07748031496063,48363
0.47000000000000003,4.049376299376299,48575
0.48000000000000004,4.019102392934169,48871
0.49,3.9642173168027415,49250
0.5,3.909315909315909,49589
0.51,3.876932107219722,49852
0.52,3.8465183752417795,50113
0.53,3.8187476062811183,50327
0.54,3.7934535104364326,50523
0.55,3.7730356133408707,50661
0.56,3.748177229388671,50796
0.5700000000000001,3.7301690507152148,50925
0.5800000000000001,3.7148928307464892,51034
0.59,3.702391904323827,51115
0.6,3.688982507555637,51199
0.61,3.679357253720442,51253
0.62,3.6701256144183505,51306
0.63,3.662309368191721,51360
0.64,3.65546599039942,51401
0.65,3.652134587554269,51434
0.66,3.6484191508581754,51458
0.67,3.6456096020214783,51478
0.68,3.641640378548896,51499
0.6900000000000001,3.639704557737345,51510
0.7000000000000001,3.63678905687545,51524
0.7100000000000001,3.634115637082996,51536
0.72,3.633495145631068,51543
0.73,3.6326053743147297,51547
0.74,3.6319525563842214,51549
0.75,3.6316262353998203,51550
0.76,3.63097376931369,51552
0.77,3.6306476241803645,51553
0.78,3.6308272702775533,51555
0.79,3.6309170933261474,51556
0.8,3.6309170933261474,51556
0.81,3.6309170933261474,51556
0.8200000000000001,3.6309170933261474,51556
0.8300000000000001,3.6309170933261474,51556
0.8400000000000001,3.6309170933261474,51556
0.85,3.6309170933261474,51556
0.86,3.6309170933261474,51556
0.87,3.6309170933261474,51556
0.88,3.6309170933261474,51556
0.89,3.6309170933261474,51556
0.9,3.6309170933261474,51556
0.91,3.6309170933261474,51556
0.92,3.6309170933261474,51556
0.93,3.6309170933261474,51556
0.9400000000000001,3.6309170933261474,51556
0.9500000000000001,3.6309170933261474,51556
0.9600000000000001,3.6309170933261474,51556
0.97,3.6309170933261474,51556
0.98,3.6309170933261474,51556
0.99,3.6309170933261474,51556
